brand,product_name,category,animal_materials,material_type,quantity_used,color,pattern_or_texture,manufacturing_process,country_of_origin,date_of_manufacture,sustainable_certification,ethics_notes,estimated_price_usd,availability_status,harms_to_animal,conservation_status,traceability_notes,needs_brand_model_verification,needs_color_name_verification,needs_cert_docs,product_code_validation_regex,product_code_is_valid_format,official_product_name,official_style_code,official_product_url,official_description,official_product_details,official_color_name,product_code_status,product_code_notes,pdp_found,animal_cruelty_flag,animal_cruelty_note
Dolce & Gabbana,Dolce & Gabbana Product 151,Wallet,Calfskin (Bovine),Leather,1 hide,Red,Grain,Handcrafted,United Kingdom,2021,LWG-certified tannery (if applicable),Ethically sourced leather,53643.08,Limited Edition,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Dolce & Gabbana Product 151,N/A,https://www.brand.com/product,Luxury item crafted from Calfskin (Bovine),"Category: Wallet, Material: Calfskin (Bovine), Color: Red",Red,Generated,Auto-filled for dataset completeness,False,True,Made from Calfskin (Bovine) - animal killed
Versace,Versace Product 152,Shoes,Ostrich Leather,Leather,1 hide,Beige,Quilted,Handcrafted,France,2020,FSC; LWG-certified tannery (if applicable),Leather sourced from sustainable farms,79165.84,Limited Edition,Farmed birds slaughtered for leather/feathers; welfare depends on farm standards,IUCN: Least Concern (population decreasing),Request farm-of-origin and tannery documentation; batch traceability recommended,True,True,True,"^[A-Z0-9\-]{5,15}$",True,Versace Product 152,N/A,https://www.brand.com/product,Luxury item crafted from Ostrich Leather,"Category: Shoes, Material: Ostrich Leather, Color: Beige",Beige,Generated,Auto-filled for dataset completeness,False,True,Made from Ostrich Leather - animal killed
Dior,Dior Product 153,Bag,Calfskin (Bovine),Leather,1 hide,Brown,Textured,Machine-made,France,2020,CITES; LWG-certified tannery (if applicable),Ethically sourced leather,7437.92,In Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Dior Product 153,N/A,https://www.brand.com/product,Luxury item crafted from Calfskin (Bovine),"Category: Bag, Material: Calfskin (Bovine), Color: Brown",Brown,Generated,Auto-filled for dataset completeness,False,True,Made from Calfskin (Bovine) - animal killed
Dolce & Gabbana,Dolce & Gabbana Product 154,Belt,Bovine (Cowhide),Leather,1 hide,Red,Quilted,Hand-stitched,Italy,2022,LWG-certified tannery (if applicable),Leather sourced from sustainable farms,33630.51,Out Of Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Dolce & Gabbana Product 154,N/A,https://www.brand.com/product,Luxury item crafted from Bovine (Cowhide),"Category: Belt, Material: Bovine (Cowhide), Color: Red",Red,Generated,Auto-filled for dataset completeness,False,True,Made from Bovine (Cowhide) - animal killed
Bottega Veneta,Bottega Veneta Product 155,Belt,Ostrich Leather,Leather,1 hide,Red,Smooth,Handcrafted,Spain,2025,FSC; LWG-certified tannery (if applicable),Leather sourced from sustainable farms,55475.43,In Stock,Farmed birds slaughtered for leather/feathers; welfare depends on farm standards,IUCN: Least Concern (population decreasing),Request farm-of-origin and tannery documentation; batch traceability recommended,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Bottega Veneta Product 155,N/A,https://www.brand.com/product,Luxury item crafted from Ostrich Leather,"Category: Belt, Material: Ostrich Leather, Color: Red",Red,Generated,Auto-filled for dataset completeness,False,True,Made from Ostrich Leather - animal killed
Valentino,Valentino Product 156,Shoes,Calfskin (Bovine),Leather,1 hide,Beige,Smooth,Handcrafted,France,2022,LWG-certified tannery (if applicable),Ethically sourced leather,19136.63,Limited Edition,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9]{6,12}$",True,Valentino Product 156,N/A,https://www.brand.com/product,Luxury item crafted from Calfskin (Bovine),"Category: Shoes, Material: Calfskin (Bovine), Color: Beige",Beige,Generated,Auto-filled for dataset completeness,False,True,Made from Calfskin (Bovine) - animal killed
Louis Vuitton,Louis Vuitton Product 157,Shoes,Calfskin (Bovine),Leather,1 hide,Black,Quilted,Hand-stitched,France,2020,FSC; LWG-certified tannery (if applicable),Ethically sourced leather,32485.33,In Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,^[A-Z]{1}\d{5}$,False,Louis Vuitton Product 157,N/A,https://www.brand.com/product,Luxury item crafted from Calfskin (Bovine),"Category: Shoes, Material: Calfskin (Bovine), Color: Black",Black,Missing (awaiting official match),Cleared non-official placeholder; needs catalog match,False,True,Made from Calfskin (Bovine) - animal killed
Alexander Mcqueen,Alexander Mcqueen Product 158,Wallet,Crocodile Leather,Exotic Leather,1 skin,Beige,Smooth,Handcrafted,Spain,2020,CITES; CITES Appendix II (permits & tagging required); CITES Appendix II (verify),Ethically sourced leather,84053.43,Out Of Stock,Animal killed for skin; trade regulated under CITES; verify captive-breeding/farm documentation,CITES: Appendix II (Saltwater crocodile - Crocodylus porosus); verify species and population via CITES certificate,Request CITES export/import permits and species-specific documentation from supplier/Hermes,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Alexander Mcqueen Product 158,N/A,https://www.brand.com/product,Luxury item crafted from Crocodile Leather,"Category: Wallet, Material: Crocodile Leather, Color: Beige",Beige,Generated,Auto-filled for dataset completeness,False,True,Made from Crocodile Leather - animal killed
Givenchy,Givenchy Product 159,Shoes,Bovine (Cowhide),Leather,1 hide,Red,Smooth,Handcrafted,United Kingdom,2020,FSC; LWG-certified tannery (if applicable),Leather sourced from sustainable farms,33777.8,Limited Edition,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Givenchy Product 159,N/A,https://www.brand.com/product,Luxury item crafted from Bovine (Cowhide),"Category: Shoes, Material: Bovine (Cowhide), Color: Red",Red,Generated,Auto-filled for dataset completeness,False,True,Made from Bovine (Cowhide) - animal killed
Celine,Celine Product 160,Belt,Calfskin (Bovine),Leather,1 hide,Red,Quilted,Machine-made,France,2022,LWG-certified tannery (if applicable),Strict sourcing from certified farms,70245.45,Limited Edition,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Celine Product 160,N/A,https://www.brand.com/product,Luxury item crafted from Calfskin (Bovine),"Category: Belt, Material: Calfskin (Bovine), Color: Red",Red,Generated,Auto-filled for dataset completeness,False,True,Made from Calfskin (Bovine) - animal killed
Loewe,Loewe Product 161,Shoes,Ostrich Leather,Leather,1 hide,Red,Grain,Machine-made,Spain,2024,CITES; LWG-certified tannery (if applicable),Strict sourcing from certified farms,54670.15,Limited Edition,Farmed birds slaughtered for leather/feathers; welfare depends on farm standards,IUCN: Least Concern (population decreasing),Request farm-of-origin and tannery documentation; batch traceability recommended,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Loewe Product 161,N/A,https://www.brand.com/product,Luxury item crafted from Ostrich Leather,"Category: Shoes, Material: Ostrich Leather, Color: Red",Red,Generated,Auto-filled for dataset completeness,False,True,Made from Ostrich Leather - animal killed
Saint Laurent,Saint Laurent Product 162,Bag,Calfskin (Bovine),Leather,1 hide,Beige,Textured,Machine-made,Spain,2022,FSC; LWG-certified tannery (if applicable),Leather sourced from sustainable farms,65808.97,Out Of Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Saint Laurent Product 162,N/A,https://www.brand.com/product,Luxury item crafted from Calfskin (Bovine),"Category: Bag, Material: Calfskin (Bovine), Color: Beige",Beige,Generated,Auto-filled for dataset completeness,False,True,Made from Calfskin (Bovine) - animal killed
Prada,Prada Product 163,Shoes,Calfskin (Bovine),Leather,1 hide,Brown,Smooth,Machine-made,France,2020,FSC; LWG-certified tannery (if applicable),Strict sourcing from certified farms,88879.39,Out Of Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9]{1,6}(?:_[A-Z0-9]{2,6}){2,5}$",False,Prada Product 163,N/A,https://www.brand.com/product,Luxury item crafted from Calfskin (Bovine),"Category: Shoes, Material: Calfskin (Bovine), Color: Brown",Brown,Missing (awaiting official match),Cleared non-official placeholder; needs catalog match,False,True,Made from Calfskin (Bovine) - animal killed
Miu Miu,Miu Miu Product 164,Bag,Bovine (Cowhide),Leather,1 hide,Red,Grain,Handcrafted,Spain,2021,FSC; LWG-certified tannery (if applicable),Strict sourcing from certified farms,77823.24,Limited Edition,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Miu Miu Product 164,N/A,https://www.brand.com/product,Luxury item crafted from Bovine (Cowhide),"Category: Bag, Material: Bovine (Cowhide), Color: Red",Red,Generated,Auto-filled for dataset completeness,False,True,Made from Bovine (Cowhide) - animal killed
Saint Laurent,Saint Laurent Product 165,Shoes,Crocodile Leather,Exotic Leather,1 skin,Brown,Textured,Handcrafted,France,2022,FSC; CITES Appendix II (permits & tagging required); CITES Appendix II (verify),Strict sourcing from certified farms,81001.76,In Stock,Animal killed for skin; trade regulated under CITES; verify captive-breeding/farm documentation,CITES: Appendix II (Saltwater crocodile - Crocodylus porosus); verify species and population via CITES certificate,Request CITES export/import permits and species-specific documentation from supplier/Hermes,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Saint Laurent Product 165,N/A,https://www.brand.com/product,Luxury item crafted from Crocodile Leather,"Category: Shoes, Material: Crocodile Leather, Color: Brown",Brown,Generated,Auto-filled for dataset completeness,False,True,Made from Crocodile Leather - animal killed
Saint Laurent,Saint Laurent Product 166,Wallet,Ostrich Leather,Leather,1 hide,Monogram,Smooth,Machine-made,United Kingdom,2021,CITES; LWG-certified tannery (if applicable),Strict sourcing from certified farms,91650.03,Limited Edition,Farmed birds slaughtered for leather/feathers; welfare depends on farm standards,IUCN: Least Concern (population decreasing),Request farm-of-origin and tannery documentation; batch traceability recommended,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Saint Laurent Product 166,N/A,https://www.brand.com/product,Luxury item crafted from Ostrich Leather,"Category: Wallet, Material: Ostrich Leather, Color: Monogram",Monogram,Generated,Auto-filled for dataset completeness,False,True,Made from Ostrich Leather - animal killed
Celine,Celine Product 167,Shoes,Ostrich Leather,Leather,1 hide,Red,Embossed,Hand-stitched,United Kingdom,2022,CITES; LWG-certified tannery (if applicable),Strict sourcing from certified farms,23541.44,Out Of Stock,Farmed birds slaughtered for leather/feathers; welfare depends on farm standards,IUCN: Least Concern (population decreasing),Request farm-of-origin and tannery documentation; batch traceability recommended,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Celine Product 167,N/A,https://www.brand.com/product,Luxury item crafted from Ostrich Leather,"Category: Shoes, Material: Ostrich Leather, Color: Red",Red,Generated,Auto-filled for dataset completeness,False,True,Made from Ostrich Leather - animal killed
Bottega Veneta,Bottega Veneta Product 168,Belt,Bovine (Cowhide),Leather,1 hide,Monogram,Textured,Handcrafted,Italy,2021,LWG-certified tannery (if applicable),Ethically sourced leather,22873.99,Out Of Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Bottega Veneta Product 168,N/A,https://www.brand.com/product,Luxury item crafted from Bovine (Cowhide),"Category: Belt, Material: Bovine (Cowhide), Color: Monogram",Monogram,Generated,Auto-filled for dataset completeness,False,True,Made from Bovine (Cowhide) - animal killed
Saint Laurent,Saint Laurent Product 169,Wallet,Bovine (Cowhide),Leather,1 hide,Monogram,Smooth,Handcrafted,United Kingdom,2022,CITES; LWG-certified tannery (if applicable),Strict sourcing from certified farms,3327.85,Limited Edition,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Saint Laurent Product 169,N/A,https://www.brand.com/product,Luxury item crafted from Bovine (Cowhide),"Category: Wallet, Material: Bovine (Cowhide), Color: Monogram",Monogram,Generated,Auto-filled for dataset completeness,False,True,Made from Bovine (Cowhide) - animal killed
Dior,Dior Product 170,Wallet,Crocodile Leather,Exotic Leather,1 skin,Red,Embossed,Hand-stitched,France,2023,FSC; CITES Appendix II (permits & tagging required); CITES Appendix II (verify),Ethically sourced leather,7789.95,In Stock,Animal killed for skin; trade regulated under CITES; verify captive-breeding/farm documentation,CITES: Appendix II (Saltwater crocodile - Crocodylus porosus); verify species and population via CITES certificate,Request CITES export/import permits and species-specific documentation from supplier/Hermes,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Dior Product 170,N/A,https://www.brand.com/product,Luxury item crafted from Crocodile Leather,"Category: Wallet, Material: Crocodile Leather, Color: Red",Red,Generated,Auto-filled for dataset completeness,False,True,Made from Crocodile Leather - animal killed
Celine,Celine Product 171,Shoes,Lambskin (Sheepskin),Leather,1 hide,Red,Grain,Hand-stitched,United Kingdom,2021,FSC; LWG-certified tannery (if applicable),Strict sourcing from certified farms,33172.4,Out Of Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Celine Product 171,N/A,https://www.brand.com/product,Luxury item crafted from Lambskin (Sheepskin),"Category: Shoes, Material: Lambskin (Sheepskin), Color: Red",Red,Generated,Auto-filled for dataset completeness,False,True,Made from Lambskin (Sheepskin) - animal killed
Prada,Prada Product 172,Shoes,Lambskin (Sheepskin),Leather,1 hide,Brown,Textured,Handcrafted,France,2024,LWG-certified tannery (if applicable),Ethically sourced leather,67951.24,In Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9]{1,6}(?:_[A-Z0-9]{2,6}){2,5}$",False,Prada Product 172,N/A,https://www.brand.com/product,Luxury item crafted from Lambskin (Sheepskin),"Category: Shoes, Material: Lambskin (Sheepskin), Color: Brown",Brown,Missing (awaiting official match),Cleared non-official placeholder; needs catalog match,False,True,Made from Lambskin (Sheepskin) - animal killed
Chanel,Chanel Product 173,Shoes,Crocodile Leather,Exotic Leather,1 skin,Brown,Textured,Handcrafted,Italy,2024,CITES Appendix II (permits & tagging required); CITES Appendix II (verify),Leather sourced from sustainable farms,41189.98,Out Of Stock,Animal killed for skin; trade regulated under CITES; verify captive-breeding/farm documentation,CITES: Appendix II (Saltwater crocodile - Crocodylus porosus); verify species and population via CITES certificate,Request CITES export/import permits and species-specific documentation from supplier/Hermes,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Chanel Product 173,N/A,https://www.brand.com/product,Luxury item crafted from Crocodile Leather,"Category: Shoes, Material: Crocodile Leather, Color: Brown",Brown,Generated,Auto-filled for dataset completeness,False,True,Made from Crocodile Leather - animal killed
Burberry,Burberry Product 174,Belt,Crocodile Leather,Exotic Leather,1 skin,Beige,Smooth,Hand-stitched,Spain,2025,FSC; CITES Appendix II (permits & tagging required); CITES Appendix II (verify),Ethically sourced leather,69063.0,In Stock,Animal killed for skin; trade regulated under CITES; verify captive-breeding/farm documentation,CITES: Appendix II (Saltwater crocodile - Crocodylus porosus); verify species and population via CITES certificate,Request CITES export/import permits and species-specific documentation from supplier/Hermes,True,True,True,"^[A-Z0-9]{7,10}$",False,Burberry Product 174,N/A,https://www.brand.com/product,Luxury item crafted from Crocodile Leather,"Category: Belt, Material: Crocodile Leather, Color: Beige",Beige,Missing (awaiting official match),Cleared non-official placeholder; needs catalog match,False,True,Made from Crocodile Leather - animal killed
Chanel,Chanel Product 175,Shoes,Calfskin (Bovine),Leather,1 hide,Monogram,Smooth,Hand-stitched,United Kingdom,2025,LWG-certified tannery (if applicable),Leather sourced from sustainable farms,55132.99,Out Of Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Chanel Product 175,N/A,https://www.brand.com/product,Luxury item crafted from Calfskin (Bovine),"Category: Shoes, Material: Calfskin (Bovine), Color: Monogram",Monogram,Generated,Auto-filled for dataset completeness,False,True,Made from Calfskin (Bovine) - animal killed
Louis Vuitton,Louis Vuitton Product 176,Belt,Bovine (Cowhide),Leather,1 hide,Black,Quilted,Hand-stitched,United Kingdom,2021,FSC; LWG-certified tannery (if applicable),Strict sourcing from certified farms,59051.74,Limited Edition,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,^[A-Z]{1}\d{5}$,False,Louis Vuitton Product 176,N/A,https://www.brand.com/product,Luxury item crafted from Bovine (Cowhide),"Category: Belt, Material: Bovine (Cowhide), Color: Black",Black,Missing (awaiting official match),Cleared non-official placeholder; needs catalog match,False,True,Made from Bovine (Cowhide) - animal killed
Tom Ford,Tom Ford Product 177,Bag,Crocodile Leather,Exotic Leather,1 skin,Beige,Grain,Handcrafted,Italy,2024,CITES Appendix II (permits & tagging required); CITES Appendix II (verify),Ethically sourced leather,29937.14,Limited Edition,Animal killed for skin; trade regulated under CITES; verify captive-breeding/farm documentation,CITES: Appendix II (Saltwater crocodile - Crocodylus porosus); verify species and population via CITES certificate,Request CITES export/import permits and species-specific documentation from supplier/Hermes,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Tom Ford Product 177,N/A,https://www.brand.com/product,Luxury item crafted from Crocodile Leather,"Category: Bag, Material: Crocodile Leather, Color: Beige",Beige,Generated,Auto-filled for dataset completeness,False,True,Made from Crocodile Leather - animal killed
Dior,Dior Product 178,Shoes,Crocodile Leather,Exotic Leather,1 skin,Monogram,Smooth,Hand-stitched,Spain,2021,FSC; CITES Appendix II (permits & tagging required); CITES Appendix II (verify),Ethically sourced leather,33699.31,Limited Edition,Animal killed for skin; trade regulated under CITES; verify captive-breeding/farm documentation,CITES: Appendix II (Saltwater crocodile - Crocodylus porosus); verify species and population via CITES certificate,Request CITES export/import permits and species-specific documentation from supplier/Hermes,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Dior Product 178,N/A,https://www.brand.com/product,Luxury item crafted from Crocodile Leather,"Category: Shoes, Material: Crocodile Leather, Color: Monogram",Monogram,Generated,Auto-filled for dataset completeness,False,True,Made from Crocodile Leather - animal killed
Prada,Prada Product 179,Belt,Lambskin (Sheepskin),Leather,1 hide,Beige,Grain,Machine-made,United Kingdom,2023,FSC; LWG-certified tannery (if applicable),Ethically sourced leather,30739.63,Out Of Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9]{1,6}(?:_[A-Z0-9]{2,6}){2,5}$",False,Prada Product 179,N/A,https://www.brand.com/product,Luxury item crafted from Lambskin (Sheepskin),"Category: Belt, Material: Lambskin (Sheepskin), Color: Beige",Beige,Missing (awaiting official match),Cleared non-official placeholder; needs catalog match,False,True,Made from Lambskin (Sheepskin) - animal killed
Burberry,Burberry Product 180,Shoes,Lambskin (Sheepskin),Leather,1 hide,Monogram,Quilted,Hand-stitched,Spain,2022,CITES; LWG-certified tannery (if applicable),Leather sourced from sustainable farms,73251.06,Out Of Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9]{7,10}$",False,Burberry Product 180,N/A,https://www.brand.com/product,Luxury item crafted from Lambskin (Sheepskin),"Category: Shoes, Material: Lambskin (Sheepskin), Color: Monogram",Monogram,Missing (awaiting official match),Cleared non-official placeholder; needs catalog match,False,True,Made from Lambskin (Sheepskin) - animal killed
Dolce & Gabbana,Dolce & Gabbana Product 181,Belt,Bovine (Cowhide),Leather,1 hide,Monogram,Textured,Handcrafted,Italy,2025,FSC; LWG-certified tannery (if applicable),Leather sourced from sustainable farms,68245.81,In Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Dolce & Gabbana Product 181,N/A,https://www.brand.com/product,Luxury item crafted from Bovine (Cowhide),"Category: Belt, Material: Bovine (Cowhide), Color: Monogram",Monogram,Generated,Auto-filled for dataset completeness,False,True,Made from Bovine (Cowhide) - animal killed
Miu Miu,Miu Miu Product 182,Belt,Calfskin (Bovine),Leather,1 hide,Beige,Quilted,Machine-made,France,2025,FSC; LWG-certified tannery (if applicable),Strict sourcing from certified farms,51625.37,In Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Miu Miu Product 182,N/A,https://www.brand.com/product,Luxury item crafted from Calfskin (Bovine),"Category: Belt, Material: Calfskin (Bovine), Color: Beige",Beige,Generated,Auto-filled for dataset completeness,False,True,Made from Calfskin (Bovine) - animal killed
Gucci,Gucci Product 183,Belt,Ostrich Leather,Leather,1 hide,Beige,Embossed,Hand-stitched,Spain,2025,CITES; LWG-certified tannery (if applicable),Strict sourcing from certified farms,46616.96,Limited Edition,Farmed birds slaughtered for leather/feathers; welfare depends on farm standards,IUCN: Least Concern (population decreasing),Request farm-of-origin and tannery documentation; batch traceability recommended,True,True,True,^\d{6}\s[A-Z0-9]{5}\s\d{4}$,False,Gucci Product 183,N/A,https://www.brand.com/product,Luxury item crafted from Ostrich Leather,"Category: Belt, Material: Ostrich Leather, Color: Beige",Beige,Missing (awaiting official match),Cleared non-official placeholder; needs catalog match,False,True,Made from Ostrich Leather - animal killed
Celine,Celine Product 184,Shoes,Bovine (Cowhide),Leather,1 hide,Monogram,Grain,Handcrafted,France,2023,FSC; LWG-certified tannery (if applicable),Strict sourcing from certified farms,12453.71,Limited Edition,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Celine Product 184,N/A,https://www.brand.com/product,Luxury item crafted from Bovine (Cowhide),"Category: Shoes, Material: Bovine (Cowhide), Color: Monogram",Monogram,Generated,Auto-filled for dataset completeness,False,True,Made from Bovine (Cowhide) - animal killed
Balenciaga,Balenciaga Product 185,Belt,Ostrich Leather,Leather,1 hide,Monogram,Embossed,Hand-stitched,Italy,2021,CITES; LWG-certified tannery (if applicable),Leather sourced from sustainable farms,37242.88,Limited Edition,Farmed birds slaughtered for leather/feathers; welfare depends on farm standards,IUCN: Least Concern (population decreasing),Request farm-of-origin and tannery documentation; batch traceability recommended,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Balenciaga Product 185,N/A,https://www.brand.com/product,Luxury item crafted from Ostrich Leather,"Category: Belt, Material: Ostrich Leather, Color: Monogram",Monogram,Generated,Auto-filled for dataset completeness,False,True,Made from Ostrich Leather - animal killed
Dolce & Gabbana,Dolce & Gabbana Product 186,Bag,Lambskin (Sheepskin),Leather,1 hide,Black,Smooth,Handcrafted,Italy,2025,CITES; LWG-certified tannery (if applicable),Ethically sourced leather,84991.83,Out Of Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Dolce & Gabbana Product 186,N/A,https://www.brand.com/product,Luxury item crafted from Lambskin (Sheepskin),"Category: Bag, Material: Lambskin (Sheepskin), Color: Black",Black,Generated,Auto-filled for dataset completeness,False,True,Made from Lambskin (Sheepskin) - animal killed
Dolce & Gabbana,Dolce & Gabbana Product 187,Shoes,Ostrich Leather,Leather,1 hide,Beige,Textured,Hand-stitched,Italy,2021,LWG-certified tannery (if applicable),Strict sourcing from certified farms,83530.4,Out Of Stock,Farmed birds slaughtered for leather/feathers; welfare depends on farm standards,IUCN: Least Concern (population decreasing),Request farm-of-origin and tannery documentation; batch traceability recommended,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Dolce & Gabbana Product 187,N/A,https://www.brand.com/product,Luxury item crafted from Ostrich Leather,"Category: Shoes, Material: Ostrich Leather, Color: Beige",Beige,Generated,Auto-filled for dataset completeness,False,True,Made from Ostrich Leather - animal killed
Dolce & Gabbana,Dolce & Gabbana Product 188,Wallet,Lambskin (Sheepskin),Leather,1 hide,Black,Quilted,Handcrafted,Italy,2024,LWG-certified tannery (if applicable),Leather sourced from sustainable farms,1534.27,In Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Dolce & Gabbana Product 188,N/A,https://www.brand.com/product,Luxury item crafted from Lambskin (Sheepskin),"Category: Wallet, Material: Lambskin (Sheepskin), Color: Black",Black,Generated,Auto-filled for dataset completeness,False,True,Made from Lambskin (Sheepskin) - animal killed
Givenchy,Givenchy Product 189,Belt,Lambskin (Sheepskin),Leather,1 hide,Beige,Embossed,Handcrafted,United Kingdom,2023,CITES; LWG-certified tannery (if applicable),Ethically sourced leather,30892.0,Out Of Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Givenchy Product 189,N/A,https://www.brand.com/product,Luxury item crafted from Lambskin (Sheepskin),"Category: Belt, Material: Lambskin (Sheepskin), Color: Beige",Beige,Generated,Auto-filled for dataset completeness,False,True,Made from Lambskin (Sheepskin) - animal killed
